_id	hitzig.nobound5-5lex.PPMIweight.LENGTHFOC.SOCPOSlex.x	hitzig.nobound5-5lex.PPMIweight.LENGTHFOC.SOCPOSlex.y	hitzig.nobound5-5lex.PPMIweight.LENGTH5000.SOCPOSlex.x	hitzig.nobound5-5lex.PPMIweight.LENGTH5000.SOCPOSlex.y	hitzig.nobound5-5lex.PPMIweight.LENGTH1000.SOCPOSlex.x	hitzig.nobound5-5lex.PPMIweight.LENGTH1000.SOCPOSlex.y	hitzig.nobound5-5lex.PPMIselection.LENGTHFOC.SOCPOSlex.x	hitzig.nobound5-5lex.PPMIselection.LENGTHFOC.SOCPOSlex.y	hitzig.nobound5-5lex.PPMIselection.LENGTH5000.SOCPOSlex.x	hitzig.nobound5-5lex.PPMIselection.LENGTH5000.SOCPOSlex.y	hitzig.nobound5-5lex.PPMIselection.LENGTH1000.SOCPOSlex.x	hitzig.nobound5-5lex.PPMIselection.LENGTH1000.SOCPOSlex.y	hitzig.nobound5-5lex.PPMIno.LENGTHFOC.SOCPOSlex.x	hitzig.nobound5-5lex.PPMIno.LENGTHFOC.SOCPOSlex.y	hitzig.nobound5-5lex.PPMIno.LENGTH5000.SOCPOSlex.x	hitzig.nobound5-5lex.PPMIno.LENGTH5000.SOCPOSlex.y	hitzig.nobound5-5lex.PPMIno.LENGTH1000.SOCPOSlex.x	hitzig.nobound5-5lex.PPMIno.LENGTH1000.SOCPOSlex.y	hitzig.nobound5-5all.PPMIweight.LENGTHFOC.SOCPOSlex.x	hitzig.nobound5-5all.PPMIweight.LENGTHFOC.SOCPOSlex.y	hitzig.nobound5-5all.PPMIweight.LENGTH5000.SOCPOSlex.x	hitzig.nobound5-5all.PPMIweight.LENGTH5000.SOCPOSlex.y	hitzig.nobound5-5all.PPMIweight.LENGTH1000.SOCPOSlex.x	hitzig.nobound5-5all.PPMIweight.LENGTH1000.SOCPOSlex.y	hitzig.nobound5-5all.PPMIselection.LENGTHFOC.SOCPOSlex.x	hitzig.nobound5-5all.PPMIselection.LENGTHFOC.SOCPOSlex.y	hitzig.nobound5-5all.PPMIselection.LENGTH5000.SOCPOSlex.x	hitzig.nobound5-5all.PPMIselection.LENGTH5000.SOCPOSlex.y	hitzig.nobound5-5all.PPMIselection.LENGTH1000.SOCPOSlex.x	hitzig.nobound5-5all.PPMIselection.LENGTH1000.SOCPOSlex.y	hitzig.nobound5-5all.PPMIno.LENGTHFOC.SOCPOSlex.x	hitzig.nobound5-5all.PPMIno.LENGTHFOC.SOCPOSlex.y	hitzig.nobound5-5all.PPMIno.LENGTH5000.SOCPOSlex.x	hitzig.nobound5-5all.PPMIno.LENGTH5000.SOCPOSlex.y	hitzig.nobound5-5all.PPMIno.LENGTH1000.SOCPOSlex.x	hitzig.nobound5-5all.PPMIno.LENGTH1000.SOCPOSlex.y	hitzig.nobound3-3lex.PPMIweight.LENGTHFOC.SOCPOSlex.x	hitzig.nobound3-3lex.PPMIweight.LENGTHFOC.SOCPOSlex.y	hitzig.nobound3-3lex.PPMIweight.LENGTH5000.SOCPOSlex.x	hitzig.nobound3-3lex.PPMIweight.LENGTH5000.SOCPOSlex.y	hitzig.nobound3-3lex.PPMIweight.LENGTH1000.SOCPOSlex.x	hitzig.nobound3-3lex.PPMIweight.LENGTH1000.SOCPOSlex.y	hitzig.nobound3-3lex.PPMIselection.LENGTHFOC.SOCPOSlex.x	hitzig.nobound3-3lex.PPMIselection.LENGTHFOC.SOCPOSlex.y	hitzig.nobound3-3lex.PPMIselection.LENGTH5000.SOCPOSlex.x	hitzig.nobound3-3lex.PPMIselection.LENGTH5000.SOCPOSlex.y	hitzig.nobound3-3lex.PPMIselection.LENGTH1000.SOCPOSlex.x	hitzig.nobound3-3lex.PPMIselection.LENGTH1000.SOCPOSlex.y	hitzig.nobound3-3lex.PPMIno.LENGTHFOC.SOCPOSlex.x	hitzig.nobound3-3lex.PPMIno.LENGTHFOC.SOCPOSlex.y	hitzig.nobound3-3lex.PPMIno.LENGTH5000.SOCPOSlex.x	hitzig.nobound3-3lex.PPMIno.LENGTH5000.SOCPOSlex.y	hitzig.nobound3-3lex.PPMIno.LENGTH1000.SOCPOSlex.x	hitzig.nobound3-3lex.PPMIno.LENGTH1000.SOCPOSlex.y	hitzig.nobound3-3all.PPMIweight.LENGTHFOC.SOCPOSlex.x	hitzig.nobound3-3all.PPMIweight.LENGTHFOC.SOCPOSlex.y	hitzig.nobound3-3all.PPMIweight.LENGTH5000.SOCPOSlex.x	hitzig.nobound3-3all.PPMIweight.LENGTH5000.SOCPOSlex.y	hitzig.nobound3-3all.PPMIweight.LENGTH1000.SOCPOSlex.x	hitzig.nobound3-3all.PPMIweight.LENGTH1000.SOCPOSlex.y	hitzig.nobound3-3all.PPMIselection.LENGTHFOC.SOCPOSlex.x	hitzig.nobound3-3all.PPMIselection.LENGTHFOC.SOCPOSlex.y	hitzig.nobound3-3all.PPMIselection.LENGTH5000.SOCPOSlex.x	hitzig.nobound3-3all.PPMIselection.LENGTH5000.SOCPOSlex.y	hitzig.nobound3-3all.PPMIselection.LENGTH1000.SOCPOSlex.x	hitzig.nobound3-3all.PPMIselection.LENGTH1000.SOCPOSlex.y	hitzig.nobound3-3all.PPMIno.LENGTHFOC.SOCPOSlex.x	hitzig.nobound3-3all.PPMIno.LENGTHFOC.SOCPOSlex.y	hitzig.nobound3-3all.PPMIno.LENGTH5000.SOCPOSlex.x	hitzig.nobound3-3all.PPMIno.LENGTH5000.SOCPOSlex.y	hitzig.nobound3-3all.PPMIno.LENGTH1000.SOCPOSlex.x	hitzig.nobound3-3all.PPMIno.LENGTH1000.SOCPOSlex.y	hitzig.nobound10-10lex.PPMIweight.LENGTHFOC.SOCPOSlex.x	hitzig.nobound10-10lex.PPMIweight.LENGTHFOC.SOCPOSlex.y	hitzig.nobound10-10lex.PPMIweight.LENGTH5000.SOCPOSlex.x	hitzig.nobound10-10lex.PPMIweight.LENGTH5000.SOCPOSlex.y	hitzig.nobound10-10lex.PPMIweight.LENGTH1000.SOCPOSlex.x	hitzig.nobound10-10lex.PPMIweight.LENGTH1000.SOCPOSlex.y	hitzig.nobound10-10lex.PPMIselection.LENGTHFOC.SOCPOSlex.x	hitzig.nobound10-10lex.PPMIselection.LENGTHFOC.SOCPOSlex.y	hitzig.nobound10-10lex.PPMIselection.LENGTH5000.SOCPOSlex.x	hitzig.nobound10-10lex.PPMIselection.LENGTH5000.SOCPOSlex.y	hitzig.nobound10-10lex.PPMIselection.LENGTH1000.SOCPOSlex.x	hitzig.nobound10-10lex.PPMIselection.LENGTH1000.SOCPOSlex.y	hitzig.nobound10-10lex.PPMIno.LENGTHFOC.SOCPOSlex.x	hitzig.nobound10-10lex.PPMIno.LENGTHFOC.SOCPOSlex.y	hitzig.nobound10-10lex.PPMIno.LENGTH5000.SOCPOSlex.x	hitzig.nobound10-10lex.PPMIno.LENGTH5000.SOCPOSlex.y	hitzig.nobound10-10lex.PPMIno.LENGTH1000.SOCPOSlex.x	hitzig.nobound10-10lex.PPMIno.LENGTH1000.SOCPOSlex.y	hitzig.nobound10-10all.PPMIweight.LENGTHFOC.SOCPOSlex.x	hitzig.nobound10-10all.PPMIweight.LENGTHFOC.SOCPOSlex.y	hitzig.nobound10-10all.PPMIweight.LENGTH5000.SOCPOSlex.x	hitzig.nobound10-10all.PPMIweight.LENGTH5000.SOCPOSlex.y	hitzig.nobound10-10all.PPMIweight.LENGTH1000.SOCPOSlex.x	hitzig.nobound10-10all.PPMIweight.LENGTH1000.SOCPOSlex.y	hitzig.nobound10-10all.PPMIselection.LENGTHFOC.SOCPOSlex.x	hitzig.nobound10-10all.PPMIselection.LENGTHFOC.SOCPOSlex.y	hitzig.nobound10-10all.PPMIselection.LENGTH5000.SOCPOSlex.x	hitzig.nobound10-10all.PPMIselection.LENGTH5000.SOCPOSlex.y	hitzig.nobound10-10all.PPMIselection.LENGTH1000.SOCPOSlex.x	hitzig.nobound10-10all.PPMIselection.LENGTH1000.SOCPOSlex.y	hitzig.nobound10-10all.PPMIno.LENGTHFOC.SOCPOSlex.x	hitzig.nobound10-10all.PPMIno.LENGTHFOC.SOCPOSlex.y	hitzig.nobound10-10all.PPMIno.LENGTH5000.SOCPOSlex.x	hitzig.nobound10-10all.PPMIno.LENGTH5000.SOCPOSlex.y	hitzig.nobound10-10all.PPMIno.LENGTH1000.SOCPOSlex.x	hitzig.nobound10-10all.PPMIno.LENGTH1000.SOCPOSlex.y
Kopf/NN	10.396850283196176	50.75983920184995	-19.105235797770934	-47.358671275141866	46.57226559208918	9.658433341317446	10.396850283196176	50.75983920184995	-19.105235797770934	-47.358671275141866	46.57226559208918	9.658433341317446	45.06632477839883	35.65820218017307	-28.01646355096466	-43.393981165534825	-46.64254189028033	-7.844464505880814	-54.98487584006061	1.5557273811423318	3.2489583508776176	44.21576505922581	-45.7556653603424	4.078264106559049	-54.98487584006061	1.5557273811423318	3.2489583508776176	44.21576505922581	-45.7556653603424	4.078264106559049	49.32573421026153	-7.872899835308265	56.663790764932905	-4.29770108718285	-12.666709271493072	49.240567990484855	17.359895805012155	37.477105048192264	37.02258723790991	13.053800524427016	-7.846796337321462	-41.128036441800624	17.359895805012155	37.477105048192264	37.02258723790991	13.053800524427016	-7.846796337321462	-41.128036441800624	-4.516525087635831	36.35639165378859	46.60108563739795	-3.384882755427576	-10.00995139187408	38.76389941133071	-15.068966646404661	-41.96548896168076	13.661605279760154	-38.228681526949785	-21.309511113464193	-34.03347176026007	-15.068966646404661	-41.96548896168076	13.661605279760154	-38.228681526949785	-21.309511113464193	-34.03347176026007	48.75822324447256	-10.362296487217398	-44.4728016215955	6.5067402397746115	-37.32468343307309	-17.064992919735072	13.357148222219148	-46.904196958319794	-40.15921917116929	-34.84102895511373	-49.87790594607308	-26.151763869506762	13.357148222219148	-46.904196958319794	-40.15921917116929	-34.84102895511373	-49.87790594607308	-26.151763869506762	37.02786793887733	42.41766851164138	-28.331920645769348	-51.41189420037535	37.95866234939587	46.841641079993245	54.17526409648342	-19.314271502709012	35.131290359983645	-31.609544014683607	31.544739651591993	-39.13469792853663	54.17526409648342	-19.314271502709012	35.131290359983645	-31.609544014683607	31.544739651591993	-39.13469792853663	-17.514892904005254	48.41358095406156	-8.448862139761312	-51.54174369742956	3.7348790994220944	-52.71653929343827
geschlagener/ADJ	30.979735928009344	7.8155427711202705	-16.06496733945874	-11.732641466007376	9.19954667136551	-0.31197798617151595	30.979735928009344	7.8155427711202705	-16.06496733945874	-11.732641466007376	9.19954667136551	-0.31197798617151595	-0.45385667069270175	-15.81985172745369	-4.9609096792178935	-20.496668422066183	-8.673783396551785	-5.28251782841795	5.9868932261916346	37.4944890388798	3.788083203282813	18.650080700532776	5.176842923419978	18.062709490895568	5.9868932261916346	37.4944890388798	3.788083203282813	18.650080700532776	5.176842923419978	18.062709490895568	10.086325347263335	-11.828959447211105	13.556793334183393	-7.681097430055336	0.5083178238514294	9.417625516712011	-30.678528970779475	13.695905043623634	21.170605218481775	13.312490239196066	-5.292071728463303	10.730075610779554	-30.678528970779475	13.695905043623634	21.170605218481775	13.312490239196066	-5.292071728463303	10.730075610779554	15.834609111450694	-0.17740477000143426	27.913994065376603	-9.97429500783565	7.051947105560105	3.1428328572524404	-32.46694217955067	4.092373049019937	3.1110538304320854	-21.18923192333822	24.481921447532052	-5.295251244904181	-32.46694217955067	4.092373049019937	3.1110538304320854	-21.18923192333822	24.481921447532052	-5.295251244904181	53.99218142326235	20.187936936414314	4.900579637855254	39.49132318080529	-0.2762478043657432	-13.728647766900577	4.813186369680316	4.17911220453369	-32.22832529191782	0.2828157930911502	-1.4504870846225157	-29.38164650485646	4.813186369680316	4.17911220453369	-32.22832529191782	0.2828157930911502	-1.4504870846225157	-29.38164650485646	-26.70243804548595	30.139866614535258	37.82602635325529	-13.115014594939295	15.079465885448355	6.2431574365008915	13.242101385127496	31.637013922596555	8.963574024271386	-17.7271535002127	4.75185805488788	1.086483198048166	13.242101385127496	31.637013922596555	8.963574024271386	-17.7271535002127	4.75185805488788	1.086483198048166	0.7247422728069114	10.031283933111425	18.820285099130324	-21.250290789093857	2.4692541859405654	-7.167979227013254
Rechtschreibreform/NN	-19.75712888130479	-27.481781407826663	9.600841010184011	33.91134208409314	-39.231435679792966	-15.948231042317465	-19.75712888130479	-27.481781407826663	9.600841010184011	33.91134208409314	-39.231435679792966	-15.948231042317465	-47.48620872745828	-13.103872860255318	26.77143424712179	46.71119816330662	31.109376695874555	24.964783937103352	32.75822357314855	-18.408914359582898	2.1188668341539656	-42.7090567766008	34.7545993184573	-23.73226650970038	32.75822357314855	-18.408914359582898	2.1188668341539656	-42.7090567766008	34.7545993184573	-23.73226650970038	-55.14664736532743	-2.2216545904005414	-48.420214745688476	3.777545661981863	-10.582527166416044	-41.988532169787554	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.092980023053078	37.96589403247399	28.504828847881125	23.771585336649135	33.22175714774216	15.687056274127638	6.092980023053078	37.96589403247399	28.504828847881125	23.771585336649135	33.22175714774216	15.687056274127638	-25.80074331794166	-49.38131108740476	-0.9113536388898129	62.07321703052709	-11.456320291605241	-60.458054943287124	-42.776483119230654	8.127109204969345	-34.34606324538385	26.295774136149348	-41.11259441116401	16.882564306268513	-42.776483119230654	8.127109204969345	-34.34606324538385	26.295774136149348	-41.11259441116401	16.882564306268513	30.023633128847077	-39.07962340673598	28.951252397236125	45.71235598063505	24.94537881197424	50.6093105457534
Schlacht/NN	-24.11792270805805	-0.4942215800816903	-5.904935740624017	1.9238408953702755	1.8718863248772342	-2.8516519571957026	-24.11792270805805	-0.4942215800816903	-5.904935740624017	1.9238408953702755	1.8718863248772342	-2.8516519571957026	-6.817342454527077	-33.3341770323443	6.931012586088679	-5.9448504063821055	0.22110361473957563	19.06235761293865	-2.632727481128339	-30.55002731813766	8.736167620348073	-6.177787149633543	1.3810857163783532	-10.993189993738472	-2.632727481128339	-30.55002731813766	8.736167620348073	-6.177787149633543	1.3810857163783532	-10.993189993738472	6.1668781174088325	-23.14713947019048	-4.434532109121855	-15.946708141646376	-15.715560117141637	-13.313964702617003	-5.983313836567799	30.234615738579137	17.33426002732956	24.819971608473857	27.68251950723108	-8.107444633298215	-5.983313836567799	30.234615738579137	17.33426002732956	24.819971608473857	27.68251950723108	-8.107444633298215	2.6351948326675343	5.549577537939186	21.803364974240647	-15.63368206262351	18.3429805532664	17.26438373276657	0.9640446824582573	11.034868495075745	3.774388458130242	-6.468163036733316	-28.81130768096392	-4.455155270960167	0.9640446824582573	11.034868495075745	3.774388458130242	-6.468163036733316	-28.81130768096392	-4.455155270960167	-13.758834825160834	0.7228429116213309	2.3418448234707245	-8.264962520427938	-0.20926901112695304	-25.981524282622203	20.056078674808486	-7.006771052523859	25.384969725314292	-20.057061413351608	21.883776080968534	-18.855662598684482	20.056078674808486	-7.006771052523859	25.384969725314292	-20.057061413351608	21.883776080968534	-18.855662598684482	-4.473965665170004	5.539136974374074	17.65965427421224	-3.7752210494164435	36.41256777017639	-14.796439850499453	-2.5652555760827753	10.975016731517732	-11.433003381375622	-9.099368964859732	-18.348995739178566	-11.748544997178751	-2.5652555760827753	10.975016731517732	-11.433003381375622	-9.099368964859732	-18.348995739178566	-11.748544997178751	3.301061517815243	33.05717917854848	14.25372368049589	2.110987128784215	26.432173090636745	-3.261979869537358
Feuerwerksrakete/NN	13.688089178114343	55.41875667849221	-7.272956136601987	-34.105495886245095	44.211859693902426	0.7116645416066497	13.688089178114343	55.41875667849221	-7.272956136601987	-34.105495886245095	44.211859693902426	0.7116645416066497	51.79137287309086	37.770417391413126	-43.6351919651744	-18.38084007042105	-51.35319786056557	-18.415536669158364	-61.326946323673596	-3.2476618188835005	2.5766040847172804	34.47409719694534	-42.66895882587576	11.926513717049362	-61.326946323673596	-3.2476618188835005	2.5766040847172804	34.47409719694534	-42.66895882587576	11.926513717049362	54.89886374736037	-2.272918244102102	39.73696485629743	-2.106202968226008	-8.30810750460028	47.01873806020767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.739929812359426	-53.39035129077491	-18.657344096324803	-34.629033396836235	-42.566520670544115	-32.1468081991374	13.739929812359426	-53.39035129077491	-18.657344096324803	-34.629033396836235	-42.566520670544115	-32.1468081991374	41.85787331377616	48.2435540250679	-39.04688607957291	-32.78935843206435	34.135902131962055	36.6213588824794	60.822058162067684	-23.78321142389435	35.976752272001896	-18.415451621973904	30.707720573589587	-35.94228505167331	60.822058162067684	-23.78321142389435	35.976752272001896	-18.415451621973904	30.707720573589587	-35.94228505167331	-13.293410384276818	54.74652229013862	-17.925089350130193	-47.29185357543386	-2.017644119677763	-55.9401914629377
Lobbying-Aktivitäten/NN	5.894364115547694	-65.05716183985568	-4.27813160237907	63.58492396964611	0.2793447071463444	-13.94687187122949	5.894364115547694	-65.05716183985568	-4.27813160237907	63.58492396964611	0.2793447071463444	-13.94687187122949	-63.93769613874148	18.19704414968085	69.49827120166742	-7.712642206015654	-5.62985378290553	5.631114452871005	52.230777190154626	20.413676042034034	13.540335370614855	-63.376669765655755	27.68937937549085	-17.397953115249457	52.230777190154626	20.413676042034034	13.540335370614855	-63.376669765655755	27.68937937549085	-17.397953115249457	-74.34286213406124	-1.2171045318620743	-70.61537281631502	-23.15812447799036	13.006923425910436	-29.675785172382206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-15.144343553252929	59.941168712079474	-16.430059831019424	36.247401310243845	7.3988728286366205	-5.713569626999159	-15.144343553252929	59.941168712079474	-16.430059831019424	36.247401310243845	7.3988728286366205	-5.713569626999159	14.379665477519579	-72.86794711486716	-48.52931092920373	25.73016122240323	19.285577560360302	0.8122812324054367	-65.95064331704447	-1.4446321008250305	-63.41296201348922	24.560409055105325	-27.9916303331173	16.845884420545335	-65.95064331704447	-1.4446321008250305	-63.41296201348922	24.560409055105325	-27.9916303331173	16.845884420545335	37.573372390028986	-59.48160757619878	31.531746964681933	24.384450217827823	-11.858421671219286	27.889509167558966
ner/VVF	14.875203903426543	28.972025405402725	4.7060549518156165	-31.050279843291396	30.211168440426338	16.20215393554217	14.875203903426543	28.972025405402725	4.7060549518156165	-31.050279843291396	30.211168440426338	16.20215393554217	59.31453413919995	31.94617374758853	-39.89521806563498	-11.508624571758014	-20.281753908587355	-23.912550377022445	-34.65352074341909	31.899421712851694	-19.88074128181465	30.159422036037913	-37.18450597579447	26.982991787358035	-34.65352074341909	31.899421712851694	-19.88074128181465	30.159422036037913	-37.18450597579447	26.982991787358035	59.85418567643814	-20.803325704438787	29.681152073641393	29.126404124581178	8.127721318843168	50.17538820791445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-18.291815041554678	-44.391175856980624	-12.353196889838099	-27.64193987093248	-31.044859691901745	-18.619008621088756	-18.291815041554678	-44.391175856980624	-12.353196889838099	-27.64193987093248	-31.044859691901745	-18.619008621088756	4.212978909870965	53.66821730627007	5.194318964843226	-47.72987344960957	12.205107469414443	53.7149349313132	36.49589689324663	15.008612317831409	36.199978831506435	-1.8828327887909897	41.80873160160399	-19.52390138868487	36.49589689324663	15.008612317831409	36.199978831506435	-1.8828327887909897	41.80873160160399	-19.52390138868487	-36.072925000424824	13.583194023036363	-37.553495189654804	-24.531416294849308	-35.71787402836341	-46.4610474296898
Schlafzimmer/NN	-4.932043130661669	52.39253151844935	-9.13908067736752	-48.957351509211556	43.598485686085326	16.549643787716988	-4.932043130661669	52.39253151844935	-9.13908067736752	-48.957351509211556	43.598485686085326	16.549643787716988	42.19611013345335	26.607210126659485	-12.494272923933382	-43.03978699123062	-40.659201873095164	-0.757763886526995	-56.82070893563112	13.853331198237644	13.269551757093904	38.83156674790323	-43.80213831253588	-3.3758132793096705	-56.82070893563112	13.853331198237644	13.269551757093904	38.83156674790323	-43.80213831253588	-3.3758132793096705	43.25453293817443	-18.99336139078904	46.38168236459903	-14.108693581864703	-20.220067644960157	37.740956097015925	12.848835063032764	44.774260476022036	44.83183351038409	2.604914046080049	-0.4662160965431164	-42.446417839245825	12.848835063032764	44.774260476022036	44.83183351038409	2.604914046080049	-0.4662160965431164	-42.446417839245825	6.048925147478541	43.34740019607387	39.62399414662214	-2.3108443270947445	-3.252139692731606	33.62277561028123	-26.461904268055363	-40.22831841218078	22.25903002205916	-29.34909616491232	-25.42433958136536	-20.432429821336463	-26.461904268055363	-40.22831841218078	22.25903002205916	-29.34909616491232	-25.42433958136536	-20.432429821336463	40.33342618760235	-7.931561519324326	-38.45594151072211	-6.110360114719574	-23.98575796830471	-20.857496992359465	20.755640904088683	-42.526383544791855	-33.52625711603473	-43.0829581484949	-55.05399699571076	-18.137591813799812	20.755640904088683	-42.526383544791855	-33.52625711603473	-43.0829581484949	-55.05399699571076	-18.137591813799812	31.13065211722981	57.89874392560919	-37.1329155483454	-43.657244415604445	45.26756794217135	29.417856061878975	56.70403520260786	-9.924187773330452	26.399670785695847	-36.97171945301314	17.14324379109308	-31.29198684584289	56.70403520260786	-9.924187773330452	26.399670785695847	-36.97171945301314	17.14324379109308	-31.29198684584289	-2.4948489284551525	49.55497527251997	2.4175725258868286	-48.86430101271071	9.400862154995314	-41.99266962935391
Verwendung/NN	-14.981366437875437	-0.8241808992422855	31.474004062150122	21.792226545807473	-25.839246656329163	-7.80861264067972	-14.981366437875437	-0.8241808992422855	31.474004062150122	21.792226545807473	-25.839246656329163	-7.80861264067972	-6.286168772452999	-12.604587796541535	14.822874033376374	44.333241003248894	45.86383737369376	15.956955653475683	-13.593153476772885	-28.526565732790278	-24.467454902795357	-34.26353559945129	26.521303145203902	-5.242434709645169	-13.593153476772885	-28.526565732790278	-24.467454902795357	-34.26353559945129	26.521303145203902	-5.242434709645169	-6.303280775898776	10.50487719617376	-37.661660013489026	20.74312852086321	15.056401024308649	-55.750086590349134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-29.725444532046975	11.634707223182533	27.915577269522903	8.75029073593231	21.289872452540102	21.711356975734667	-29.725444532046975	11.634707223182533	27.915577269522903	8.75029073593231	21.289872452540102	21.711356975734667	7.724399517363119	-18.606852096141672	7.701499049835121	49.990495420259094	-30.032411618271208	-44.857932232674905	-33.132274443183306	-30.775208139848253	-21.71542694791965	41.48725096025859	-25.427250503670674	30.558155151382092	-33.132274443183306	-30.775208139848253	-21.71542694791965	41.48725096025859	-25.427250503670674	30.558155151382092	-14.53254686953647	-35.01992355292692	-12.858579070348068	57.10376091659955	-18.764706725403585	50.61808243682627
eitrig/ADJ	3.5149510706800746	33.58647901651994	22.101616871146156	-4.946651892820983	1.3498161468861365	10.653332897670218	3.5149510706800746	33.58647901651994	22.101616871146156	-4.946651892820983	1.3498161468861365	10.653332897670218	24.598995231602487	-18.913383536189855	-13.608319223499693	-1.9246668283700337	-4.080479688311301	-15.134317764558856	-27.773852976883575	-13.465359239933798	-28.081295554107168	-3.47214441810935	12.53796581129835	23.807143399119695	-27.773852976883575	-13.465359239933798	-28.081295554107168	-3.47214441810935	12.53796581129835	23.807143399119695	4.615433034478353	10.756989128036706	-3.7584026573771845	28.191326326235423	11.099931564542354	10.2100079693617	3.087857765551787	29.613122392317806	2.4492868884861174	21.158938940494934	8.912023226668747	-5.107062289810111	3.087857765551787	29.613122392317806	2.4492868884861174	21.158938940494934	8.912023226668747	-5.107062289810111	0.8423664561730169	14.971025470671613	10.443817559525245	-21.62165744080964	-11.303813226026792	-2.8059099199029656	33.999116809841674	-5.119159313790428	13.637599827849352	-9.398455037476046	-1.8672685538519407	-5.888084967366097	33.999116809841674	-5.119159313790428	13.637599827849352	-9.398455037476046	-1.8672685538519407	-5.888084967366097	4.331162994421803	-8.118530480689763	5.720735634455106	8.676560698819108	-5.843960812197448	18.501693515890462	-38.41724970812512	-13.379362328199003	-17.496763624547132	-13.161457400399632	-19.814812927325736	20.663738259897084	-38.41724970812512	-13.379362328199003	-17.496763624547132	-13.161457400399632	-19.814812927325736	20.663738259897084	13.481775743257824	15.786479166257992	17.164345699064054	-24.83610005893959	-29.028788438080824	27.021966864345284	11.788551764295496	-42.499272683996764	15.33550742206723	36.015170277157985	20.268392932626384	24.333986749010123	11.788551764295496	-42.499272683996764	15.33550742206723	36.015170277157985	20.268392932626384	24.333986749010123	-44.39812505390317	-13.649577838434956	-34.13618253153382	4.941926548854258	-31.595630169254548	4.118714788442773
Prusiner/NN	1.7988423913071248	-8.810838186948326	-13.721915935333492	15.54198886723604	-18.059869454778	-26.042072960786417	1.7988423913071248	-8.810838186948326	-13.721915935333492	15.54198886723604	-18.059869454778	-26.042072960786417	-28.872458315553267	-33.01662906610637	7.419066561004101	16.473142775726387	-3.588151363328059	29.90080986623684	16.503811953590205	29.56516318241812	18.04903505189408	-44.209314172804405	-27.7122899852309	-38.54656224582087	16.503811953590205	29.56516318241812	18.04903505189408	-44.209314172804405	-27.7122899852309	-38.54656224582087	-13.643650656286395	-11.487299548771542	-13.319708167998234	-35.77579756477473	-55.51266399986226	22.776620315295272	-5.212089794355015	-11.367637911058678	-15.749311520598443	-3.976907324238656	-5.127265435469057	21.272705137391796	-5.212089794355015	-11.367637911058678	-15.749311520598443	-3.976907324238656	-5.127265435469057	21.272705137391796	-2.919161468333288	-16.006691250821685	-21.7356966682841	-22.95011020962561	16.73446743335152	-9.347417756972533	-15.597496233718228	12.17789654038272	19.639137144864918	39.40824756020597	-14.87923045474633	7.316798033202724	-15.597496233718228	12.17789654038272	19.639137144864918	39.40824756020597	-14.87923045474633	7.316798033202724	-9.862688808260103	4.656052345761975	4.472056103403717	-23.20001505402645	18.467720585334263	-17.059114032790596	-5.576749894785708	11.66875751695397	36.66315565762022	0.7072112837038644	57.89267583570899	11.615692617289413	-5.576749894785708	11.66875751695397	36.66315565762022	0.7072112837038644	57.89267583570899	11.615692617289413	0.9187620484820439	-52.25272811384795	-25.81390311091555	40.77230698401474	16.094021954229383	-46.984865454300405	-20.977886588665342	5.341855896590195	-37.36728537142333	-27.035997854120467	-17.31031090344573	-42.73327008531573	-20.977886588665342	5.341855896590195	-37.36728537142333	-27.035997854120467	-17.31031090344573	-42.73327008531573	42.915960238065196	-11.00278562387247	49.166591767133255	20.695557632351527	38.33042748241938	-4.441029151861841
